Radius;discrGrade;pointsCount;routedDist;Time;Latitude;Longtitude
200;12;167;0,7;695;52,49;13,39
200;13;164;0,7;682;52,49;13,39
200;14;164;0,7;714;52,49;13,39
200;1;878;17,6;441;52,49;13,4
200;2;446;17,6;464;52,49;13,4
200;3;308;17,6;431;52,49;13,4
200;4;232;17,6;427;52,49;13,4
200;5;195;17,6;511;52,49;13,4
200;6;168;17,6;408;52,49;13,4
200;7;152;17,6;410;52,49;13,4
200;8;131;17,6;393;52,49;13,4
200;9;126;17,6;399;52,49;13,4
200;10;117;17,6;376;52,49;13,4
200;11;111;17,6;379;52,49;13,4
200;12;106;17,6;430;52,49;13,4
200;13;103;17,6;465;52,49;13,4
200;14;100;17,6;396;52,49;13,4
200;1;163;78,6;316;52,49;13,41
200;2;71;78,6;355;52,49;13,41
200;3;67;78,6;401;52,49;13,41
200;4;65;78,6;332;52,49;13,41
200;5;64;78,6;326;52,49;13,41
200;6;64;78,6;312;52,49;13,41
200;7;64;78,6;305;52,49;13,41
200;8;64;78,6;361;52,49;13,41
200;9;64;78,6;408;52,49;13,41
200;10;64;78,6;308;52,49;13,41
200;11;64;78,6;312;52,49;13,41
200;12;64;78,6;320;52,49;13,41
200;13;64;78,6;300;52,49;13,41
200;14;64;78,6;352;52,49;13,41
200;1;723;1,3;641;52,49;13,42
200;2;367;1,3;675;52,49;13,42
200;3;259;1,3;618;52,49;13,42
200;4;202;1,3;659;52,49;13,42
200;5;177;1,3;666;52,49;13,42
200;6;157;1,3;662;52,49;13,42
200;7;152;1,3;637;52,49;13,42
200;8;147;1,3;613;52,49;13,42
200;9;145;1,3;612;52,49;13,42
200;10;143;1,3;635;52,49;13,42
200;11;143;1,3;620;52,49;13,42
200;12;141;1,3;766;52,49;13,42
200;13;141;1,3;799;52,49;13,42
200;14;141;1,3;900;52,49;13,42
200;1;438;5,1;1013;52,49;13,43
200;2;281;5,1;1080;52,49;13,43
200;3;237;5,1;953;52,49;13,43
200;4;215;5,1;963;52,49;13,43
200;5;200;5,1;880;52,49;13,43
200;6;198;5,1;909;52,49;13,43
200;7;198;5,1;819;52,49;13,43
200;8;198;5,1;835;52,49;13,43
200;9;198;5,1;847;52,49;13,43
200;10;198;5,1;926;52,49;13,43
200;11;198;5,1;882;52,49;13,43
200;12;198;5,1;900;52,49;13,43
200;13;198;5,1;837;52,49;13,43
200;14;198;5,1;856;52,49;13,43
200;1;223;106,5;301;52,49;13,44
200;2;117;106,5;238;52,49;13,44
200;3;83;106,5;213;52,49;13,44
200;4;68;106,5;254;52,49;13,44
200;5;59;106,5;237;52,49;13,44
200;6;51;106,5;254;52,49;13,44
200;7;49;106,5;230;52,49;13,44
200;8;48;106,5;251;52,49;13,44
200;9;45;106,5;242;52,49;13,44
200;10;45;106,5;239;52,49;13,44
200;11;45;106,5;287;52,49;13,44
200;12;44;106,5;291;52,49;13,44
200;13;43;106,5;219;52,49;13,44
200;14;43;106,5;215;52,49;13,44
200;1;535;11,1;577;52,49;13,45
200;2;278;11,1;505;52,49;13,45
200;3;193;11,1;538;52,49;13,45
200;4;154;11,1;511;52,49;13,45
200;5;135;11,1;538;52,49;13,45
200;6;128;11,1;502;52,49;13,45
200;7;124;11,1;545;52,49;13,45
200;8;118;11,1;527;52,49;13,45
200;9;117;11,1;576;52,49;13,45
200;10;113;11,1;542;52,49;13,45
200;11;113;11,1;564;52,49;13,45
200;12;112;11,1;738;52,49;13,45
200;13;112;11,1;519;52,49;13,45
200;14;112;11,1;548;52,49;13,45
200;1;534;0;318;52,49;13,46
200;2;257;0;235;52,49;13,46
200;3;170;0;265;52,49;13,46
200;4;117;0;523;52,49;13,46
200;5;98;0;273;52,49;13,46
200;6;78;0;401;52,49;13,46
200;7;73;0;288;52,49;13,46
200;8;50;0;223;52,49;13,46
200;9;48;0;277;52,49;13,46
200;10;47;0;223;52,49;13,46
200;11;47;0;304;52,49;13,46
200;12;46;0;238;52,49;13,46
200;13;46;0;253;52,49;13,46
200;14;46;0;244;52,49;13,46
600;1;853;1439,2;1315;52,49;13,47
600;2;467;1439,2;1224;52,49;13,47
600;3;339;1439,2;1502;52,49;13,47
600;4;273;1439,2;1419;52,49;13,47
600;5;243;1439,2;1410;52,49;13,47
600;6;223;1439,2;1314;52,49;13,47
600;7;215;1439,2;1215;52,49;13,47
600;8;192;1439,2;1264;52,49;13,47
600;9;189;1439,2;1268;52,49;13,47
600;10;188;1439,2;1264;52,49;13,47
600;11;187;1439,2;1398;52,49;13,47
600;12;187;1439,2;1460;52,49;13,47
600;13;187;1439,2;1219;52,49;13,47
600;14;187;1439,2;1273;52,49;13,47
500;1;450;339,9;633;52,49;13,48
500;2;241;339,9;694;52,49;13,48
500;3;174;339,9;662;52,49;13,48
500;4;137;339,9;638;52,49;13,48
500;5;123;339,9;637;52,49;13,48
500;6;107;339,9;639;52,49;13,48
500;7;102;339,9;574;52,49;13,48
500;8;90;339,9;659;52,49;13,48
500;9;86;339,9;575;52,49;13,48
500;10;86;339,9;642;52,49;13,48
500;11;85;339,9;581;52,49;13,48
500;12;84;339,9;555;52,49;13,48
500;13;84;339,9;639;52,49;13,48
500;14;83;339,9;594;52,49;13,48
600;1;220;606;356;52,49;13,49
600;2;110;606;260;52,49;13,49
600;3;74;606;292;52,49;13,49
600;4;55;606;268;52,49;13,49
600;5;44;606;266;52,49;13,49
600;6;37;606;263;52,49;13,49
600;7;32;606;269;52,49;13,49
600;8;28;606;318;52,49;13,49
600;9;25;606;283;52,49;13,49
600;10;22;606;279;52,49;13,49
600;11;20;606;259;52,49;13,49
600;12;19;606;255;52,49;13,49
600;13;17;606;295;52,49;13,49
600;14;16;606;294;52,49;13,49
700;1;804;3107,9;1767;52,49;13,5
700;2;483;3107,9;1612;52,49;13,5
700;3;386;3107,9;1690;52,49;13,5
700;4;336;3107,9;1669;52,49;13,5
700;5;306;3107,9;1563;52,49;13,5
700;6;291;3107,9;1687;52,49;13,5
700;7;281;3107,9;1629;52,49;13,5
700;8;271;3107,9;1793;52,49;13,5
700;9;263;3107,9;1669;52,49;13,5
700;10;262;3107,9;1722;52,49;13,5
700;11;258;3107,9;1609;52,49;13,5
700;12;255;3107,9;1680;52,49;13,5
700;13;253;3107,9;1659;52,49;13,5
700;14;253;3107,9;1683;52,49;13,5
400;1;1152;265,8;2893;52,49;13,51
400;2;848;265,8;2775;52,49;13,51
400;3;746;265,8;2713;52,49;13,51
400;4;696;265,8;2728;52,49;13,51
400;5;665;265,8;2825;52,49;13,51
400;6;648;265,8;3740;52,49;13,51
400;7;636;265,8;3208;52,49;13,51
400;8;625;265,8;2854;52,49;13,51
400;9;618;265,8;2804;52,49;13,51
400;10;612;265,8;2680;52,49;13,51
400;11;608;265,8;2724;52,49;13,51
400;12;607;265,8;2746;52,49;13,51
400;13;603;265,8;2709;52,49;13,51
400;14;602;265,8;2916;52,49;13,51
200;1;577;6,8;547;52,5;13,3
200;2;330;6,8;605;52,5;13,3
200;3;252;6,8;574;52,5;13,3
200;4;212;6,8;553;52,5;13,3
200;5;189;6,8;588;52,5;13,3
200;6;174;6,8;600;52,5;13,3
200;7;164;6,8;589;52,5;13,3
200;8;156;6,8;589;52,5;13,3
200;9;150;6,8;533;52,5;13,3
200;10;147;6,8;564;52,5;13,3
200;11;140;6,8;682;52,5;13,3
200;12;139;6,8;603;52,5;13,3
200;13;137;6,8;571;52,5;13,3
200;14;134;6,8;592;52,5;13,3
200;1;771;224,1;1280;52,5;13,31
200;2;512;224,1;1256;52,5;13,31
200;3;428;224,1;1389;52,5;13,31
200;4;387;224,1;1414;52,5;13,31
200;5;363;224,1;1378;52,5;13,31
200;6;349;224,1;1263;52,5;13,31
200;7;337;224,1;1317;52,5;13,31
200;8;332;224,1;1317;52,5;13,31
200;9;327;224,1;1416;52,5;13,31
200;10;322;224,1;1358;52,5;13,31
200;11;320;224,1;1368;52,5;13,31
200;12;318;224,1;1529;52,5;13,31
200;13;316;224,1;1758;52,5;13,31
200;14;314;224,1;1490;52,5;13,31
200;1;1237;6,5;1486;52,5;13,32
200;2;745;6,5;1444;52,5;13,32
200;3;590;6,5;1427;52,5;13,32
200;4;511;6,5;1436;52,5;13,32
200;5;464;6,5;1386;52,5;13,32
200;6;434;6,5;1420;52,5;13,32
200;7;416;6,5;1444;52,5;13,32
200;8;400;6,5;1538;52,5;13,32
200;9;391;6,5;1686;52,5;13,32
200;10;385;6,5;1844;52,5;13,32
200;11;378;6,5;1675;52,5;13,32
200;12;372;6,5;1422;52,5;13,32
200;13;369;6,5;1410;52,5;13,32
200;14;367;6,5;1551;52,5;13,32
200;1;684;118,4;653;52,5;13,33
200;2;381;118,4;595;52,5;13,33
200;3;280;118,4;580;52,5;13,33
200;4;234;118,4;616;52,5;13,33
200;5;205;118,4;628;52,5;13,33
200;6;182;118,4;590;52,5;13,33
200;7;170;118,4;858;52,5;13,33
200;8;164;118,4;613;52,5;13,33
200;9;152;118,4;553;52,5;13,33
200;10;149;118,4;634;52,5;13,33
200;11;144;118,4;591;52,5;13,33
200;12;141;118,4;616;52,5;13,33
200;13;138;118,4;605;52,5;13,33
200;14;135;118,4;644;52,5;13,33
200;1;1008;98,7;997;52,5;13,34
200;2;551;98,7;984;52,5;13,34
200;3;409;98,7;927;52,5;13,34
200;4;338;98,7;990;52,5;13,34
200;5;303;98,7;1016;52,5;13,34
200;6;277;98,7;990;52,5;13,34
200;7;255;98,7;995;52,5;13,34
200;8;252;98,7;967;52,5;13,34
200;9;243;98,7;1001;52,5;13,34
200;10;237;98,7;954;52,5;13,34
200;11;230;98,7;1014;52,5;13,34
200;12;229;98,7;951;52,5;13,34
200;13;228;98,7;1013;52,5;13,34
200;14;225;98,7;990;52,5;13,34
200;1;1287;18,8;2949;52,5;13,35
200;2;952;18,8;3073;52,5;13,35
200;3;843;18,8;3014;52,5;13,35
200;4;787;18,8;3407;52,5;13,35
200;5;755;18,8;2740;52,5;13,35
200;6;734;18,8;2657;52,5;13,35
200;7;722;18,8;2670;52,5;13,35
200;8;708;18,8;2779;52,5;13,35
200;9;702;18,8;2653;52,5;13,35
200;10;695;18,8;2830;52,5;13,35
200;11;690;18,8;2764;52,5;13,35
200;12;686;18,8;3460;52,5;13,35
200;13;683;18,8;2915;52,5;13,35
200;14;680;18,8;2718;52,5;13,35
200;1;126;145,5;120;52,5;13,36
200;2;63;145,5;117;52,5;13,36
200;3;41;145,5;118;52,5;13,36
200;4;33;145,5;147;52,5;13,36
200;5;26;145,5;106;52,5;13,36
200;6;24;145,5;102;52,5;13,36
200;7;21;145,5;126;52,5;13,36
200;8;18;145,5;113;52,5;13,36
200;9;16;145,5;152;52,5;13,36
200;10;16;145,5;106;52,5;13,36
200;11;16;145,5;111;52,5;13,36
200;12;16;145,5;149;52,5;13,36
200;13;16;145,5;112;52,5;13,36
200;14;15;145,5;106;52,5;13,36
200;1;838;5,4;874;52,5;13,37
200;2;462;5,4;811;52,5;13,37
200;3;344;5,4;824;52,5;13,37
200;4;286;5,4;824;52,5;13,37
200;5;254;5,4;826;52,5;13,37
200;6;239;5,4;856;52,5;13,37
200;7;230;5,4;779;52,5;13,37
200;8;217;5,4;885;52,5;13,37
200;9;213;5,4;848;52,5;13,37
200;10;204;5,4;835;52,5;13,37
200;11;203;5,4;840;52,5;13,37
200;12;200;5,4;1060;52,5;13,37
200;13;198;5,4;1055;52,5;13,37
200;14;197;5,4;1064;52,5;13,37
500;1;241;410,4;543;52,5;13,38
500;2;127;410,4;373;52,5;13,38
500;3;90;410,4;383;52,5;13,38
500;4;73;410,4;375;52,5;13,38
500;5;62;410,4;385;52,5;13,38
500;6;55;410,4;391;52,5;13,38
500;7;53;410,4;387;52,5;13,38
500;8;50;410,4;396;52,5;13,38
500;9;48;410,4;399;52,5;13,38
500;10;45;410,4;422;52,5;13,38
500;11;44;410,4;433;52,5;13,38
500;12;44;410,4;392;52,5;13,38
500;13;43;410,4;410;52,5;13,38
500;14;42;410,4;426;52,5;13,38
300;1;807;320,8;867;52,5;13,39
300;2;432;320,8;778;52,5;13,39
300;3;317;320,8;751;52,5;13,39
300;4;258;320,8;814;52,5;13,39
300;5;227;320,8;769;52,5;13,39
300;6;206;320,8;719;52,5;13,39
300;7;190;320,8;738;52,5;13,39
300;8;179;320,8;729;52,5;13,39
300;9;172;320,8;1042;52,5;13,39
300;10;167;320,8;1194;52,5;13,39
300;11;163;320,8;959;52,5;13,39
300;12;163;320,8;753;52,5;13,39
300;13;159;320,8;826;52,5;13,39
300;14;157;320,8;808;52,5;13,39
300;1;823;250,2;836;52,5;13,4
300;2;410;250,2;589;52,5;13,4
300;3;275;250,2;752;52,5;13,4
300;4;213;250,2;2407;52,5;13,4
300;5;172;250,2;750;52,5;13,4
300;6;147;250,2;665;52,5;13,4
300;7;128;250,2;524;52,5;13,4
300;8;119;250,2;411;52,5;13,4
300;9;109;250,2;506;52,5;13,4
300;10;102;250,2;446;52,5;13,4
300;11;94;250,2;456;52,5;13,4
300;12;92;250,2;397;52,5;13,4
300;13;91;250,2;374;52,5;13,4
300;14;86;250,2;442;52,5;13,4
200;1;138;48,3;175;52,5;13,41
200;2;72;48,3;224;52,5;13,41
200;3;52;48,3;183;52,5;13,41
200;4;42;48,3;202;52,5;13,41
200;5;38;48,3;166;52,5;13,41
200;6;33;48,3;151;52,5;13,41
200;7;32;48,3;185;52,5;13,41
200;8;31;48,3;178;52,5;13,41
200;9;29;48,3;151;52,5;13,41
