Baden-Wrttemberg;5000
Bayern;5001
Brandenburg;5002
Bremen;5003
Hamburg;5004
Hessen;5005
Mecklenburg-Vorpommern;5006
Niedersachsen;5007
Nordrhein-Westfalen;5008
Rheinland-Pfalz;5009
Saarland;5010
Sachsen;5011
Sachsen-Anhalt;5012
Schleswig-Holstein;5013
Thringen;5014
