Brandenburg;51,4;14
Brandenburg;51,4;13,7333
Brandenburg;51,431;14,0098
Brandenburg;51,45;13,9333
Brandenburg;51,4167;13,9333
Brandenburg;51,4055;13,8937
Brandenburg;51,4576;13,8664
Brandenburg;51,4333;13,7333
Brandenburg;51,3833;13,8
Brandenburg;51,5299;13,9508
Brandenburg;51,5252;14,0016
Brandenburg;51,5456;13,9121
Brandenburg;51,4881;13,7662
Brandenburg;51,6214;14,1309
Brandenburg;51,5876;14,0109
Brandenburg;51,4767;13,8556
Brandenburg;51,375;13,7598
Brandenburg;51,379;13,725
Brandenburg;51,4148;13,7696
Brandenburg;51,5101;13,8981
Brandenburg;51,5456;13,9121
Brandenburg;51,5632;13,8955
Brandenburg;51,5641;13,8692
Brandenburg;51,5693;13,9237
Brandenburg;51,5456;13,9121
Brandenburg;51,5504;13,9244
Brandenburg;51,5614;13,882
Brandenburg;51,5623;13,8742
Brandenburg;51,5558;13,8891
Brandenburg;51,4547;14,0251
Brandenburg;51,5456;13,9121
Brandenburg;51,5504;13,9244
Brandenburg;51,5422;13,8994
Brandenburg;51,7612;14,3544
Brandenburg;51,7754;14,3374
Brandenburg;51,756;14,3197
Brandenburg;51,7403;14,3198
Brandenburg;51,7324;14,3347
Brandenburg;51,7667;14,3333
Brandenburg;51,7667;14,3333
Brandenburg;51,7667;14,3333
Brandenburg;51,7667;14,3333
Brandenburg;51,7667;14,3333
Brandenburg;51,6783;14,3592
Brandenburg;51,6515;14,3298
Brandenburg;51,7426;14,4209
Brandenburg;51,6682;14,345
Brandenburg;51,6788;14,4163
Brandenburg;51,7252;14,4839
Brandenburg;51,7023;14,5025
Brandenburg;51,6962;14,4266
Brandenburg;51,6865;14,5094
Brandenburg;51,7139;14,3248
Brandenburg;51,7007;14,3878
Brandenburg;51,7235;14,3631
Brandenburg;51,7043;14,4614
Brandenburg;51,6846;14,4727
Brandenburg;51,6744;14,442
Brandenburg;51,711;14,3539
Brandenburg;51,8155;14,2442
Brandenburg;51,812;14,2294
Brandenburg;51,85;14,2333
Brandenburg;51,8167;14,1833
Brandenburg;51,825;14,2833
Brandenburg;51,8333;14,15
Brandenburg;51,75;14,25
Brandenburg;51,6214;14,1309
Brandenburg;51,608;14,1651
Brandenburg;51,6541;14,2232
Brandenburg;51,5838;14,1708
Brandenburg;51,5906;14,5266
Brandenburg;51,591;14,4581
Brandenburg;51,5514;14,1884
Brandenburg;51,5729;14,4732
Brandenburg;51,625;14,4917
Brandenburg;51,6448;14,4332
Brandenburg;51,5683;14,5271
Brandenburg;51,5978;14,4467
Brandenburg;51,5518;14,2219
Brandenburg;51,5799;14,589
Brandenburg;51,5833;14,6167
Brandenburg;51,5696;14,3739
Brandenburg;51,6667;14,475
Brandenburg;51,5667;14,6417
Brandenburg;51,6083;14,5208
Brandenburg;51,5667;14,3667
Brandenburg;51,7302;14,598
Brandenburg;51,6967;14,5533
Brandenburg;51,7;14,625
Brandenburg;51,6159;14,5981
Brandenburg;51,6433;14,63
Brandenburg;51,6967;14,5533
Brandenburg;51,9342;14,6255
Brandenburg;51,9383;14,5667
Brandenburg;51,9099;14,5756
Brandenburg;51,9499;14,7145
Brandenburg;51,9833;14,5333
Brandenburg;51,8492;14,5924
Brandenburg;51,9;14,65
Brandenburg;51,9833;14,6238
Brandenburg;51,8667;14,3667
Brandenburg;51,8584;14,4114
Brandenburg;51,7932;14,5096
Brandenburg;51,8199;14,5074
Brandenburg;51,9;14,45
Brandenburg;51,875;14,4083
Brandenburg;51,8903;14,3164
Brandenburg;51,8056;14,4444
Brandenburg;51,8966;14,5103
Brandenburg;51,8607;14,4981
Brandenburg;53,2435;14,2573
Brandenburg;51,7274;14,0498
Brandenburg;51,744;13,9533
Brandenburg;51,7746;13,9558
Brandenburg;51,7127;14,0422
