Radius;discrGrade;pointsCount;routedDist;Time;Latitude;Longtitude;;Radius;discrGrade;pointsCount;routedDist;Time;Latitude;Longtitude;;Radius;discrGrade;pointsCount;routedDist;Time;Latitude;Longtitude;;Radius;discrGrade;pointsCount;routedDist;Time;Latitude;Longtitude;;Radius;discrGrade;pointsCount;routedDist;Time;Latitude;Longtitude;;Radius;discrGrade;pointsCount;routedDist;Time;Latitude;Longtitude
420;15;198;687,6;2985;51,31;12,32;;420;11;34;510,4;663;51,31;12,33;;1020;11;737;1102,2;10741;51,31;12,34;;1120;11;741;1177,3;10621;51,31;12,35;;620;11;95;452,4;1457;51,31;12,36;;220;11;477;37,9;6360;51,31;12,37
420;16;187;691,2;2897;51,31;12,32;;420;12;32;510,4;644;51,31;12,33;;1020;12;716;1102,2;11311;51,31;12,34;;1120;12;720;1177,3;9839;51,31;12,35;;620;12;92;452,4;1432;51,31;12,36;;220;12;466;37,9;5775;51,31;12,37
420;17;177;687,6;2641;51,31;12,32;;420;13;31;510,4;672;51,31;12,33;;1020;13;698;1102,2;10298;51,31;12,34;;1120;13;702;1177,3;9828;51,31;12,35;;620;13;90;452,4;1446;51,31;12,36;;220;13;457;37,9;5654;51,31;12,37
420;18;167;692,2;2779;51,31;12,32;;420;14;29;510,4;630;51,31;12,33;;1020;14;687;1102,2;11793;51,31;12,34;;1120;14;691;1177,3;9933;51,31;12,35;;620;14;89;452,4;1388;51,31;12,36;;220;14;445;39,5;5647;51,31;12,37
420;19;157;687,6;2353;51,31;12,32;;420;15;28;510,4;645;51,31;12,33;;1020;15;680;1102,2;10193;51,31;12,34;;1120;15;684;1177,3;10140;51,31;12,35;;620;15;89;452,4;1465;51,31;12,36;;220;15;433;39,5;6013;51,31;12,37
;;;;;;;;420;16;28;510,4;692;51,31;12,33;;1020;16;671;1102,2;10205;51,31;12,34;;1120;16;675;1177,3;9932;51,31;12,35;;620;16;89;452,4;1397;51,31;12,36;;220;16;426;39,5;5942;51,31;12,37
;;;;;;;;420;17;26;510,4;505;51,31;12,33;;1020;17;664;1102,2;10534;51,31;12,34;;1120;17;668;1177,3;9251;51,31;12,35;;620;17;88;452,4;1458;51,31;12,36;;220;17;424;39,5;5304;51,31;12,37
;;;;;;;;420;18;25;510,4;571;51,31;12,33;;1020;18;654;1102,2;9820;51,31;12,34;;1120;18;658;1177,3;9108;51,31;12,35;;620;18;88;452,4;1424;51,31;12,36;;220;18;423;39,5;5272;51,31;12,37
;;;;;;;;420;19;25;510,4;521;51,31;12,33;;1020;19;650;1102,2;10307;51,31;12,34;;1120;19;654;1177,3;9251;51,31;12,35;;620;19;88;452,4;1514;51,31;12,36;;220;19;423;39,5;5259;51,31;12,37
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
